2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: gbk_test.csv (编码: gbk)
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | Excel 加载: test.xlsx
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | JSON 加载: tmp9d2guv21.json
2026-05-07 14:32:10 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp25bc1z65.csv (编码: utf-8)
2026-05-07 14:32:12 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpcsy316_6.csv (编码: utf-8)
2026-05-07 14:32:12 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpsaidobjy.csv (编码: utf-8)
2026-05-07 14:32:12 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpebirm87s.csv (编码: utf-8)
2026-05-07 14:32:20 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:32:22 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:32:22 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:32:34 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:32:47 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:32:56 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:33:35 | DEBUG    | dqengine.core.loader | CSV 加载成功: sample.csv (编码: utf-8)
2026-05-07 14:33:36 | INFO     | dqengine.report.advanced_generator | HTML 报告已生成: reports\quality_report_20260507_143335.html
2026-05-07 14:33:45 | INFO     | dqengine.services.config_manager | 加载配置: tmpnzdi3f5s.yaml
2026-05-07 14:33:45 | INFO     | dqengine.services.config_manager | 配置已导出: C:\Users\13033\AppData\Local\Temp\tmpfpj_okk5.yaml
2026-05-07 14:33:45 | INFO     | dqengine.services.config_manager | 加载配置: tmpfpj_okk5.yaml
2026-05-07 14:33:45 | INFO     | dqengine.services.config_manager | 加载配置: tmphpxpd7qz.yaml
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmp1_rli7e2.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpx48rmm7l.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmph4yiguuu.csv (编码: utf-8)
2026-05-07 14:33:45 | DEBUG    | dqengine.core.loader | CSV 加载成功: tmpdvs5bw9w.csv (编码: utf-8)
